ANO;CATEGORIA;SUBCATEGORIA;CHATBOT;DATING APPS;SOCIAL MEDIA;SOCIALIZATION PLACES;NGOS;DIRECT REFERRALS
2019;Materials and tests;Promotional material;0;0;0;2450;0;0
2021;Materials and tests;Promotional material;0;0;0;0;0;338
2020;Materials and tests;Promotional material;0;0;0;719;0;0
2021;Materials and tests;Promotional material;0;0;0;0;0;699.75
2019;Materials and tests;Lubricant;0.106666666666667;0;0.32;0.746666666666667;0;0.213333333333333
2020;Materials and tests;Lubricant;0.746666666666667;16.4;3.84;2.50666666666667;0;5.97333333333333
2021;Materials and tests;Lubricant;0.106666666666667;11.28;2.88;3.94666666666667;0.32;6.29333333333333
2020;Materials and tests;Promotional material;0;0;0;18;0;0
2021;Materials and tests;Promotional material;0;0;0;0;0;26.8
2020;Materials and tests;Promotional material;0;0;0;0;0;34
2021;Materials and tests;Promotional material;0;0;0;0;0;835
2019;Materials and tests;Promotional material;0;0;0;200;0;0
2019;Materials and tests;Promotional material;0;0;0;166.5;0;0
2021;Materials and tests;Promotional material;0;0;0;0;0;102
2021;Materials and tests;Promotional material;0;0;0;0;0;149.7
2019;Materials and tests;Promotional material;0;0;0;0;0;183.15
2019;Materials and tests;Promotional material;0;0;0;0;0;136.53
2019;Materials and tests;Condom;0.106666666666667;0;0.32;0.746666666666667;0;0.213333333333333
2020;Materials and tests;Condom;0.746666666666667;16.4;3.84;2.50666666666667;0;5.97333333333333
2021;Materials and tests;Condom;0.106666666666667;11.28;2.88;3.94666666666667;0.32;6.29333333333333
2019;Materials and tests;Condom;0.106666666666667;0;0.32;0.746666666666667;0;0.213333333333333
2020;Materials and tests;Condom;0.746666666666667;16.4;3.84;2.50666666666667;0;5.97333333333333
2021;Materials and tests;Condom;0.106666666666667;11.28;2.88;3.94666666666667;0.32;6.29333333333333
2021;Materials and tests;Promotional material;0;0;0;0;0;149.5
2021;Materials and tests;Promotional material;0;0;0;0;0;134.7
2021;IT equipment;Speaker;0;0;0;0;0;104.803493449782
2021;IT equipment;Laptop;214.531659388646;214.531659388646;214.531659388646;214.531659388646;214.531659388646;214.531659388646
2019;IT equipment;Laptop;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613
2020;IT equipment;Laptop;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613
2021;IT equipment;Laptop;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613
2020;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2021;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2020;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2021;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2020;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2021;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2020;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2021;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2020;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2021;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2019;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2020;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2021;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2019;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2020;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2021;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2019;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2020;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2021;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2021;IT equipment;Smartphone;65.4694323144105;65.4694323144105;65.4694323144105;65.4694323144105;65.4694323144105;65.4694323144105
2021;IT equipment;Smartphone;45.8187772925764;45.8187772925764;45.8187772925764;45.8187772925764;45.8187772925764;45.8187772925764
2019;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2020;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2021;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2019;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2020;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2021;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2020;IT equipment;Tablet;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441
2021;IT equipment;Tablet;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441
2020;IT equipment;Tablet;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441
2021;IT equipment;Tablet;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441
2019;IT equipment;Laptop;101.494905385735;101.494905385735;101.494905385735;101.494905385735;101.494905385735;101.494905385735
2020;IT equipment;Laptop;101.494905385735;101.494905385735;101.494905385735;101.494905385735;101.494905385735;101.494905385735
2021;IT equipment;Laptop;101.494905385735;101.494905385735;101.494905385735;101.494905385735;101.494905385735;101.494905385735
2019;IT equipment;Laptop;172.549126637555;172.549126637555;172.549126637555;172.549126637555;172.549126637555;172.549126637555
2020;IT equipment;Laptop;172.549126637555;172.549126637555;172.549126637555;172.549126637555;172.549126637555;172.549126637555
2021;IT equipment;Laptop;172.549126637555;172.549126637555;172.549126637555;172.549126637555;172.549126637555;172.549126637555
2021;IT equipment;Laptop;250.659388646288;250.659388646288;250.659388646288;250.659388646288;250.659388646288;250.659388646288
2021;IT equipment;Laptop;214.56768558952;214.56768558952;214.56768558952;214.56768558952;214.56768558952;214.56768558952
2019;IT equipment;Laptop;215.396288209607;215.396288209607;215.396288209607;215.396288209607;215.396288209607;215.396288209607
2020;IT equipment;Laptop;215.396288209607;215.396288209607;215.396288209607;215.396288209607;215.396288209607;215.396288209607
2021;IT equipment;Laptop;215.396288209607;215.396288209607;215.396288209607;215.396288209607;215.396288209607;215.396288209607
2021;IT equipment;Laptop;217.964701601164;217.964701601164;217.964701601164;217.964701601164;217.964701601164;217.964701601164
2019;IT equipment;Laptop;293.705240174672;293.705240174672;293.705240174672;293.705240174672;293.705240174672;293.705240174672
2020;IT equipment;Laptop;293.705240174672;293.705240174672;293.705240174672;293.705240174672;293.705240174672;293.705240174672
2021;IT equipment;Laptop;293.705240174672;293.705240174672;293.705240174672;293.705240174672;293.705240174672;293.705240174672
2020;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2021;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2019;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2020;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2021;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2019;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2020;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2021;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2020;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2020;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2020;IT equipment;SIM cards;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856
2021;IT equipment;SIM cards;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856
2021;IT equipment;SIM cards;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856
2020;Subscriptions and boosts;Office suite;35.8333333333333;35.8333333333333;35.8333333333333;35.8333333333333;35.8333333333333;35.8333333333333
2020;Subscriptions and boosts;Social media;0;169.99;0;0;0;0
2020;Subscriptions and boosts;Social media;0;74.9;0;0;0;0
2020;Subscriptions and boosts;Social media;0;7.9;0;0;0;0
2020;Subscriptions and boosts;Social media;0;280.13;0;0;0;0
2020;Subscriptions and boosts;Social media;0;74.97;0;0;0;0
2020;Subscriptions and boosts;Social media;0;74.97;0;0;0;0
2021;Subscriptions and boosts;Social media;0;149.94;0;0;0;0
2021;Subscriptions and boosts;Social media;0;74.97;0;0;0;0
2021;Subscriptions and boosts;Social media;0;6.99;0;0;0;0
2021;Subscriptions and boosts;Social media;0;81.96;0;0;0;0
2021;Subscriptions and boosts;Social media;0;149.99;0;0;0;0
2021;Subscriptions and boosts;Social media;0;74.97;0;0;0;0
2021;Subscriptions and boosts;Social media;0;74.97;0;0;0;0
2019;Subscriptions and boosts;Office suite;94.5;94.5;94.5;94.5;94.5;94.5
2019;Personnel;Technical support;70.83;70.83;70.83;70.83;70.83;70.83
2021;Subscriptions and boosts;Phone plan;10;10;10;10;10;10
2020;Subscriptions and boosts;Phone plan;2.5;2.5;2.5;2.5;2.5;2.5
2020;Subscriptions and boosts;Phone plan;2.5;2.5;2.5;2.5;2.5;2.5
2020;Subscriptions and boosts;Phone plan;2.5;2.5;2.5;2.5;2.5;2.5
2020;Subscriptions and boosts;Phone plan;2.5;2.5;2.5;2.5;2.5;2.5
2020;Subscriptions and boosts;Phone plan;3.33333333333333;3.33333333333333;3.33333333333333;3.33333333333333;3.33333333333333;3.33333333333333
2020;Subscriptions and boosts;Phone plan;3.33333333333333;3.33333333333333;3.33333333333333;3.33333333333333;3.33333333333333;3.33333333333333
2021;Subscriptions and boosts;Phone plan;43.1683333333333;43.1683333333333;43.1683333333333;43.1683333333333;43.1683333333333;43.1683333333333
2021;Subscriptions and boosts;Phone plan;26.6966666666667;26.6966666666667;26.6966666666667;26.6966666666667;26.6966666666667;26.6966666666667
2021;Subscriptions and boosts;Phone plan;46.5833333333333;46.5833333333333;46.5833333333333;46.5833333333333;46.5833333333333;46.5833333333333
2021;Subscriptions and boosts;Phone plan;26.6;26.6;26.6;26.6;26.6;26.6
2021;Subscriptions and boosts;Phone plan;46.5833333333333;46.5833333333333;46.5833333333333;46.5833333333333;46.5833333333333;46.5833333333333
2021;Subscriptions and boosts;Phone plan;26.6966666666667;26.6966666666667;26.6966666666667;26.6966666666667;26.6966666666667;26.6966666666667
2021;Subscriptions and boosts;Phone plan;46.6016666666667;46.6016666666667;46.6016666666667;46.6016666666667;46.6016666666667;46.6016666666667
2021;Subscriptions and boosts;Phone plan;26.6;26.6;26.6;26.6;26.6;26.6
2021;Subscriptions and boosts;Phone plan;26.6;26.6;26.6;26.6;26.6;26.6
2021;Subscriptions and boosts;Phone plan;26.6;26.6;26.6;26.6;26.6;26.6
2020;Transportation and dispatch;Transportation;0;0;0;9.2;0;0
2020;Transportation and dispatch;Transportation;0;0;0;10.8;0;0
2020;Transportation and dispatch;Transportation;0;0;0;14.03;0;0
2020;Transportation and dispatch;Transportation;0;0;0;7;0;0
2021;Transportation and dispatch;Transportation;0;0;0;0;0;71.08
2021;Transportation and dispatch;Transportation;0;0;0;0;0;70.77
2021;Transportation and dispatch;Transportation;0;0;0;0;0;17.18
2021;Transportation and dispatch;Transportation;0;0;0;0;0;54.09
2021;Transportation and dispatch;Transportation;0;0;0;0;0;67.08
2021;Transportation and dispatch;Transportation;0;0;0;0;0;60.67
2021;Transportation and dispatch;Transportation;0;0;0;0;0;14.13
2021;Transportation and dispatch;Transportation;0;0;0;0;0;104.97
2021;Transportation and dispatch;Transportation;0;0;0;0;0;59.35
2021;Transportation and dispatch;Transportation;0;0;0;0;0;7.61
2021;Transportation and dispatch;Transportation;0;0;0;0;0;130.65
2021;Transportation and dispatch;Transportation;0;0;0;0;0;6.57
2021;Transportation and dispatch;Transportation;0;0;0;0;0;69.16
2021;Transportation and dispatch;Transportation;0;0;0;0;0;6.57
2021;Transportation and dispatch;Transportation;0;0;0;0;0;12.53
2021;Transportation and dispatch;Transportation;0;0;0;0;0;10.4
2021;Transportation and dispatch;Transportation;0;0;0;0;0;65.56
2020;Transportation and dispatch;Transportation;0;0;0;9.6;0;0
2019;Transportation and dispatch;Dispatch;0;0;0;19.8;0;0
2019;Transportation and dispatch;Dispatch;0;0;0;811.8;0;0
2019;Transportation and dispatch;Dispatch;0;0;0;19.9;0;0
2019;Transportation and dispatch;Dispatch;0;0;0;60.5;0;0
2019;Transportation and dispatch;Dispatch;0;0;0;37.4;0;0
2020;Transportation and dispatch;Dispatch;0;0;0;109.5;0;0
2020;Transportation and dispatch;Dispatch;0;0;0;84;0;0
2020;Transportation and dispatch;Dispatch;0;0;0;21;0;0
2020;Transportation and dispatch;Dispatch;0;0;0;45;0;0
2020;Transportation and dispatch;Dispatch;0;0;0;45;0;0
2020;Transportation and dispatch;Dispatch;0;0;0;45;0;0
2020;Transportation and dispatch;Dispatch;0;0;0;147;0;0
2020;Transportation and dispatch;Dispatch;0;0;0;133.5;0;0
2020;Transportation and dispatch;Dispatch;0;0;0;90;0;0
2020;Transportation and dispatch;Dispatch;0;0;0;21;0;0
2020;Transportation and dispatch;Dispatch;0;0;0;109.5;0;0
2020;Transportation and dispatch;Dispatch;0;0;0;93.7;0;0
2020;Transportation and dispatch;Dispatch;0;0;0;90;0;0
2020;Transportation and dispatch;Dispatch;0;0;0;63;0;0
2020;Transportation and dispatch;Dispatch;0;0;0;88.5;0;0
2020;Transportation and dispatch;Dispatch;0;0;0;22.5;0;0
2021;Transportation and dispatch;Dispatch;0;0;0;90;0;0
2021;Transportation and dispatch;Dispatch;0;0;0;68.3;0;0
2021;Transportation and dispatch;Dispatch;0;0;0;79.6;0;0
2021;Transportation and dispatch;Dispatch;0;0;0;63;0;0
2021;Transportation and dispatch;Dispatch;0;0;0;43.5;0;0
2021;Transportation and dispatch;Dispatch;0;0;0;21;0;0
2021;Transportation and dispatch;Dispatch;0;0;0;189.7;0;0
2021;Transportation and dispatch;Dispatch;0;0;0;105;0;0
2021;Transportation and dispatch;Dispatch;0;0;0;0;0;19.5
2021;Transportation and dispatch;Dispatch;0;0;0;209.4;0;0
2021;Transportation and dispatch;Dispatch;0;0;0;96;0;0
2021;Transportation and dispatch;Dispatch;0;0;0;112.8;0;0
2021;Transportation and dispatch;Dispatch;0;0;0;21;0;0
2021;Transportation and dispatch;Dispatch;0;0;0;84;0;0
2021;Transportation and dispatch;Dispatch;0;0;0;87;0;0
2019;Transportation and dispatch;Transportation;0;0;0;8.51;0;0
2019;Transportation and dispatch;Transportation;0;0;0;15.97;0;0
2019;Transportation and dispatch;Transportation;0;0;0;11.65;0;0
2019;Transportation and dispatch;Transportation;0;0;0;7.5;0;0
2019;Transportation and dispatch;Transportation;0;0;0;11.26;0;0
2020;Transportation and dispatch;Transportation;0;0;0;12.02;0;0
2020;Transportation and dispatch;Transportation;0;0;0;11.38;0;0
2020;Transportation and dispatch;Transportation;0;0;0;0;0;20.58
2020;Transportation and dispatch;Transportation;0;0;0;0;0;22.95
2020;Transportation and dispatch;Transportation;0;0;0;0;0;61.83
2020;Transportation and dispatch;Transportation;0;0;0;0;0;37.46
2020;Transportation and dispatch;Transportation;0;0;0;0;0;26.09
2020;Transportation and dispatch;Transportation;0;0;0;0;0;26.25
2021;Transportation and dispatch;Transportation;0;0;0;20.83;0;0
2021;Transportation and dispatch;Transportation;0;0;0;0;0;46.56
2019;Amanda Selfie;Improvement;4080;0;0;0;0;0
2019;Amanda Selfie;Improvement;4080;0;0;0;0;0
2019;Amanda Selfie;Improvement;4080;0;0;0;0;0
2019;Amanda Selfie;Improvement;4080;0;0;0;0;0
2019;Amanda Selfie;Improvement;4080;0;0;0;0;0
2019;Amanda Selfie;Improvement;4080;0;0;0;0;0
2020;Amanda Selfie;Improvement;7200;0;0;0;0;0
2020;Amanda Selfie;Improvement;3600;0;0;0;0;0
2020;Amanda Selfie;Improvement;3600;0;0;0;0;0
2021;Amanda Selfie;Improvement;2160;0;0;0;0;0
2021;Amanda Selfie;Improvement;2160;0;0;0;0;0
2021;Amanda Selfie;Improvement;2160;0;0;0;0;0
2021;Amanda Selfie;Improvement;2160;0;0;0;0;0
2021;Amanda Selfie;Improvement;7800;0;0;0;0;0
2019;Amanda Selfie;Development;26000;0;0;0;0;0
2019;Amanda Selfie;Development;22800;0;0;0;0;0
2019;Amanda Selfie;Development;12200;0;0;0;0;0
2019;Amanda Selfie;Development;31000;0;0;0;0;0
2019;Amanda Selfie;Development;12000;0;0;0;0;0
2020;Amanda Selfie;Development;12000;0;0;0;0;0
2020;Amanda Selfie;Development;12000;0;0;0;0;0
2021;Amanda Selfie;Hosting;999;0;0;0;0;0
2021;Amanda Selfie;Hosting;999;0;0;0;0;0
2021;Amanda Selfie;Hosting;999;0;0;0;0;0
2021;Amanda Selfie;Hosting;1200;0;0;0;0;0
2021;Amanda Selfie;Hosting;999;0;0;0;0;0
2020;Amanda Selfie;Hosting;999;0;0;0;0;0
2020;Amanda Selfie;Hosting;999;0;0;0;0;0
2020;Amanda Selfie;Hosting;2199;0;0;0;0;0
2020;Amanda Selfie;Hosting;999;0;0;0;0;0
2021;Amanda Selfie;Migration;3480;0;0;0;0;0
2019;Personnel;Illustrator;570.666666666667;570.666666666667;570.666666666667;570.666666666667;570.666666666667;570.666666666667
2020;Personnel;Illustrator;777.333333333333;777.333333333333;777.333333333333;777.333333333333;777.333333333333;777.333333333333
2020;Personnel;Illustrator;83.3333333333333;83.3333333333333;83.3333333333333;83.3333333333333;83.3333333333333;83.3333333333333
2021;Personnel;Illustrator;201.666666666667;201.666666666667;201.666666666667;201.666666666667;201.666666666667;201.666666666667
2020;Personnel;Content production;0;0;300;0;0;0
2020;Personnel;Content production;0;0;180;0;0;0
2020;Personnel;Content production;0;0;210;0;0;0
2021;Personnel;Content production;0;0;140;0;0;0
2021;Personnel;Content production;0;0;120;0;0;0
2021;Personnel;Content production;0;0;300;0;0;0
2021;Personnel;Content production;0;0;120;0;0;0
2021;Personnel;Content production;0;0;480;0;0;0
2021;Personnel;Content production;0;0;120;0;0;0
2021;Personnel;Content production;0;0;240;0;0;0
2021;Personnel;Content production;0;0;240;0;0;0
2021;Personnel;Content production;0;0;360;0;0;0
2021;Personnel;Content production;0;0;240;0;0;0
2021;Personnel;Content production;0;0;540;0;0;0
2021;Personnel;Content production;0;0;600;0;0;0
2021;Personnel;Content production;0;0;360;0;0;0
2019;Personnel;Language analyst;16170.41;0;0;0;0;0
2019;Personnel;Recruitment agent and peer-educators;0;1125;1125;2250;0;0
